iter	Passed	Remaining
930	1479	109
931	1488	108
932	1490	107
933	1491	105
934	1492	103
935	1494	102
936	1498	100
937	1500	99
938	1502	97
939	1504	96
940	1505	94
941	1506	92
942	1508	91
943	1509	89
944	1511	87
945	1518	86
946	1519	85
947	1520	83
948	1521	81
949	1526	80
950	1541	79
951	1543	77
952	1551	76
953	1554	74
954	1556	73
955	1557	71
956	1559	70
957	1560	68
958	1583	67
959	1589	66
960	1591	64
961	1591	62
962	1593	61
963	1595	59
964	1597	57
965	1598	56
966	1599	54
967	1600	52
968	1601	51
969	1603	49
970	1607	48
971	1609	46
972	1612	44
973	1613	43
974	1614	41
975	1622	39
976	1623	38
977	1625	36
978	1626	34
979	1627	33
980	1643	31
981	1645	30
982	1646	28
983	1647	26
984	1654	25
985	1656	23
986	1657	21
987	1659	20
988	1661	18
989	1662	16
990	1665	15
991	1668	13
992	1670	11
993	1671	10
994	1672	8
995	1674	6
996	1675	5
997	1676	3
998	1677	1
999	1679	0
